name,stikethrough_price,discounted_price,available_rooms,num_of_times_booked,booking_timeframe,city_and_state
Crowne Plaza Los Angeles International Airport,"Rs. 95,656","Rs. 78,071",5,7,6,"Los Angeles, CA"
Dunes Inn - Wilshire,"Rs. 52,350","Rs. 52,350",0,4,6,"Los Angeles, CA"
"Custom Hotel LAX, a Joie de Vivre Boutique Hotel","Rs. 80,651","Rs. 64,225",4,5,6,"Los Angeles, CA"
Sheraton Gateway Los Angeles,"Rs. 112,920","Rs. 68,265",5,11,6,"Los Angeles, CA"
Four Points by Sheraton Los Angeles International Airport,"Rs. 88,057","Rs. 65,918",0,3,6,"Los Angeles, CA"
The LINE Hotel,"Rs. 136,044","Rs. 136,044",0,4,6,"Los Angeles, CA"
Marina del Rey Marriott,"Rs. 139,974","Rs. 139,974",1,3,24,"Los Angeles, CA"
Embassy Suites Los Angeles - International Airport/North,"Rs. 109,055","Rs. 95,527",0,6,6,"Los Angeles, CA"
Hollywood Inn Express North,"Rs. 74,077","Rs. 74,077",1,6,6,"Los Angeles, CA"
Ocean Park Hotel,"Rs. 51,596","Rs. 51,596",4,3,6,"Los Angeles, CA"
Best Western Hollywood Plaza Inn,"Rs. 100,741","Rs. 88,245",3,2,6,"Los Angeles, CA"
Travelodge Hotel at LAX,"Rs. 84,016","Rs. 50,437",4,24,6,"Los Angeles, CA"
Wilshire Getaway Apartment,"Rs. 104,786","Rs. 50,144",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Ramada Culver City,"Rs. 71,784","Rs. 58,901",3,3,6,"Los Angeles, CA"
Kimpton Hotel Wilshire,"Rs. 186,494","Rs. 142,550",6,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Shore Hotel,"Rs. 206,965","Rs. 206,965",4,2,6,"Los Angeles, CA"
Radisson Hotel Los Angeles Midtown at USC,"Rs. 96,429","Rs. 96,429",0,9,6,"Los Angeles, CA"
Comfort Inn,"Rs. 83,012","Rs. 83,012",0,Not Found,1,"Los Angeles, CA"
Jamaica Bay Inn,"Rs. 128,875","Rs. 113,802",6,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Andaz West Hollywood,"Rs. 164,450","Rs. 164,450",0,Not Found,9,"Los Angeles, CA"
Ginosi Wilshire Apartel,"Rs. 106,729","Rs. 58,320",3,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
The Hollywood Madonna Apartment,"Rs. 112,459","Rs. 84,178",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Downtown Athena Apartment,"Rs. 110,573","Rs. 42,431",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Rodeway Inn Los Angeles Convention Center,"Rs. 66,605","Rs. 60,808",5,2,12,"Los Angeles, CA"
Best Western Royal Palace Inn & Suites,"Rs. 91,598","Rs. 86,767",0,4,24,"Los Angeles, CA"
Hilton Checkers Los Angeles,"Rs. 125,803","Rs. 116,784",3,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Loews Santa Monica Beach Hotel,"Rs. 225,453","Rs. 225,453",0,Not Found,4,"Los Angeles, CA"
Super 8 Los Angeles,"Rs. 45,413","Rs. 45,413",5,3,6,"Los Angeles, CA"
Highland Topaz,"Rs. 111,385","Rs. 111,385",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Wilshire Classy Apartment,"Rs. 104,786","Rs. 50,144",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Days Inn Hollywood Near Universal Studios,"Rs. 84,701","Rs. 75,425",0,6,6,"Los Angeles, CA"
Marina del Rey Hotel,"Rs. 145,900","Rs. 127,220",0,2,6,"Los Angeles, CA"
Kawada Hotel,"Rs. 70,905","Rs. 58,392",3,5,6,"Los Angeles, CA"
Hollywood Miranda Apartel,"Rs. 84,739","Rs. 53,224",0,Not Found,6,"Los Angeles, CA"
The LA Hotel Downtown,"Rs. 92,307","Rs. 92,307",0,4,12,"Los Angeles, CA"
Maison 140 Beverly Hills,"Rs. 96,990","Rs. 96,990",7,3,12,"Los Angeles, CA"
The Kinney - Venice Beach,"Rs. 123,226","Rs. 110,343",0,Not Found,9,"Los Angeles, CA"
Crescent Hotel,"Rs. 147,897","Rs. 110,923",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Holiday Inn Express Los Angeles Downtown West,"Rs. 110,665","Rs. 77,491",4,Not Found,5,"Los Angeles, CA"
Hotel MDR Marina del Rey- a DoubleTree by Hilton,"Rs. 116,784","Rs. 96,816",3,Not Found,3,"Los Angeles, CA"
Inn at Venice Beach,"Rs. 123,226","Rs. 110,987",6,2,12,"Los Angeles, CA"
Miyako Hotel Los Angeles,"Rs. 94,883","Rs. 94,883",1,Not Found,3,"Los Angeles, CA"
Downtown LA Presidential Pool Table High Rise Suite,"Rs. 177,335","Rs. 177,335",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
